Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
2013,UNION,AVE,,UNION AVENUE,634D2,PUBLIC STREET NAMES
2523,SPRING,ST,,SPRING STREET,634H2,PUBLIC STREET NAMES
2221,TEXAS,AVE,,TEXAS AVENUE,631J5,PUBLIC STREET NAMES
8199,CARMONA,AVE,,CARMONA AVENUE,633C4,PUBLIC STREET NAMES
3268,RELIANCE,ST,,RELIANCE STREET,502D7,PUBLIC STREET NAMES
140,VIA NOLA,,,VIA NOLA,533D3,PRIVATE STREET NAMES
10174,YOSEMITE,CIR,,YOSEMITE CIRCLE,500E1,PRIVATE STREET NAMES
11452,MONROE,PL,,MONROE PLACE,532B4,LIMITED ACCESS AREA NAMES
9840,WILLOW,WAY,,WILLOW WAY,502F1,PRIVATE ROADWAY NAMES
5830,HOLLY,DR,,HOLLY DRIVE,593E2,PUBLIC STREET NAMES
10725,TORI,CT,,TORI COURT,502A2,PRIVATE STREET NAMES
9621,SHADOW MOUNTAIN,DR,,SHADOW MOUNTAIN DRIVE,630H3,PRIVATE STREET NAMES
10345,BAYVIEW,LANE,,BAYVIEW LANE,794B4,PRIVATE STREET NAMES
6012,HAVERHILL,WAY,,HAVERHILL WAY,NA,PUBLIC STREET NAMES
6778,EVERETT,PL,,EVERETT PLACE,634F1,PUBLIC STREET NAMES
5486,KENT,ST,,KENT STREET,594C7,PUBLIC STREET NAMES
4818,LYLE,ST,,LYLE STREET,482A4,PUBLIC STREET NAMES
8295,CAMPBELL,DR,,CAMPBELL DRIVE,672E5,PUBLIC STREET NAMES
5498,KEMPER,CIR,,KEMPER CIRCLE,594H4,PUBLIC STREET NAMES
5716,ILONA,AVE,,ILONA AVENUE,632D5,PUBLIC STREET NAMES
506,KEY WEST,AVE,,KEY WEST AVENUE,500G2,PRIVATE STREET NAMES
735,CALLE DEL JONELA,,,CALLE DEL JONELA,630E1,PRIVATE STREET NAMES
813,ALTA MURA,ROAD,,ALTA MURA ROAD,631D3,PRIVATE STREET NAMES
4471,MELHILL,WAY,,MELHILL WAY,631D2,PUBLIC STREET NAMES
120,VIA VERONA,,,VIA VERONA,533E2,PRIVATE STREET NAMES
2630,SIDLEE,PL,,SIDLEE PLACE,794A2,PUBLIC STREET NAMES
6309,GLOAMING,WAY,,GLOAMING WAY,592F3,PUBLIC STREET NAMES
8507,BROADMOOR,ST,,BROADMOOR STREET,501H7,PUBLIC STREET NAMES
2002,UPPERTON,PL,,UPPERTON PLACE,565C7,PUBLIC STREET NAMES
1307,ZOO,DR,,ZOO DRIVE,564A4,PUBLIC STREET NAMES
8736,BIMINI,PL,,BIMINI PLACE,634A1,PUBLIC STREET NAMES
8063,CERVERA,AVE,,CERVERA AVENUE,595A5,PUBLIC STREET NAMES
8054,CHALMERS,DR,,CHALMERS DRIVE,632J3,PUBLIC STREET NAMES
914,148TH,ST,,148TH STREET,734B4,PUBLIC STREET NAMES
224,SOLANO CANYON,DR,,SOLANO CANYON DRIVE,594G6,PRIVATE STREET NAMES
3962,OAKLAWN,ROAD,,OAKLAWN ROAD,632E6,PUBLIC STREET NAMES
7683,COURT,ST,,COURT STREET,634F3,PUBLIC STREET NAMES
5658,IRVINGTON,PL,,IRVINGTON PLACE,595B2,PUBLIC STREET NAMES
2587,SISTER ELSIE,DR,,SISTER ELSIE DRIVE,504C4,PUBLIC STREET NAMES
956,111TH,ST,,111TH STREET,704H6,PUBLIC STREET NAMES
10686,DEODARA,ST,,DEODARA STREET,634J4,PRIVATE ROADWAY NAMES
3614,PEARSON,PL,,PEARSON PLACE,503D3,PUBLIC STREET NAMES
5479,KENWATER,AVE,,KENWATER AVENUE,529E7,PUBLIC STREET NAMES
7567,CURSON,AVE,EAST,CURSON AVENUE EAST,632C2,PRIVATE STREET NAMES
8502,BROADWAY,CT,,BROADWAY COURT,671H5,PUBLIC STREET NAMES
7595,CROWNRIDGE,PL,,CROWNRIDGE PLACE,561G6,PUBLIC STREET NAMES
1853,VIA CORDOVA,,,VIA CORDOVA,824A3,PUBLIC STREET NAMES
2167,TIVERTON,AVE,,TIVERTON AVENUE,632B2,PUBLIC STREET NAMES
78,WHEATLAND,AVE,,WHEATLAND AVENUE,533B3,PRIVATE STREET NAMES
8411,BURNLEY,PL,,BURNLEY PLACE,592C1,PUBLIC STREET NAMES
1403,WOODROW,AVE,,WOODROW AVENUE,565A7,PUBLIC STREET NAMES
3463,POTOMAC,AVE,,POTOMAC AVENUE,633D7,PUBLIC STREET NAMES
8491,BRONSON,AVE,,BRONSON AVENUE,593G3,PUBLIC STREET NAMES
10315,FASHION SQUARE,LANE,,FASHION SQUARE LANE,562B4,PRIVATE ROADWAY NAMES
2279,TARO,WAY,,TARO WAY,592A6,PUBLIC STREET NAMES
9816,PIEDRA MORADA,DR,,PIEDRA MORADA DRIVE,630G2,PUBLIC STREET NAMES
11003,EAST SEAGLASS,CIR,,EAST SEAGLASS CIRCLE,702E1,PRIVATE ROADWAY NAMES
3929,OCEAN FRONT,WALK,,OCEAN FRONT WALK,671G5,PUBLIC STREET NAMES
4676,MARIGOLD,AVE,,MARIGOLD AVENUE,794A3,PUBLIC STREET NAMES
3349,RAMONA,BLVD,,RAMONA BOULEVARD,597H6,PUBLIC STREET NAMES
5810,HOLLYWOOD,WAY,,HOLLYWOOD WAY,533C2,PUBLIC STREET NAMES
8854,BELLEVUE,AVE,,BELLEVUE AVENUE,594B7,PUBLIC STREET NAMES
,,,,,,
9142,ARVIA,ST,,ARVIA STREET,594H4,PUBLIC STREET NAMES
5167,LAVA,PL,,LAVA PLACE,529E1,PUBLIC STREET NAMES
6077,HANLEY,WAY,,HANLEY WAY,631F2,PUBLIC STREET NAMES
968,103RD,ST,,103RD STREET,704E5,PUBLIC STREET NAMES
6289,GOLDENROSE,ST,,GOLDENROSE STREET,824A3,PUBLIC STREET NAMES
1430,WOODCLIFF,ROAD,,WOODCLIFF ROAD,561H5,PUBLIC STREET NAMES
5507,KELLER,ST,,KELLER STREET,634H3,PUBLIC STREET NAMES
6680,FERNLEAF,ST,,FERNLEAF STREET,594H6,PUBLIC STREET NAMES
7597,CROWN HILL,AVE,,CROWN HILL AVENUE,634D2,PUBLIC STREET NAMES
6512,FUTURE,ST,,FUTURE STREET,594H3,PUBLIC STREET NAMES
1779,VIRGINIA,AVE,,VIRGINIA AVENUE,594B5,PUBLIC STREET NAMES
7656,CRANFORD,AVE,,CRANFORD AVENUE,502E7,PUBLIC STREET NAMES
3928,OCEANO,DR,,OCEANO DRIVE,631G4,PUBLIC STREET NAMES
10687,JARDIN,CT,,JARDIN COURT,634J4,PRIVATE STREET NAMES
2472,STEPHEN,LANE,,STEPHEN LANE,529F2,PUBLIC STREET NAMES
1532,WICKS,ST,,WICKS STREET,503A4,PUBLIC STREET NAMES
7592,CRUCES,ST,,CRUCES STREET,794G4,PUBLIC STREET NAMES
6820,ESPINOSA,ST,,ESPINOSA STREET,560G5,PUBLIC STREET NAMES
2391,SUNBROOK,DR,,SUNBROOK DRIVE,592C5,PUBLIC STREET NAMES
10347,HARBOR HEIGHTS,DR,,HARBOR HEIGHTS DRIVE,794A4,PRIVATE STREET NAMES
7918,CLARENCE,ST,,CLARENCE STREET,634J5,PUBLIC STREET NAMES
1067,47TH,PL,,47TH PLACE,674F4,PUBLIC STREET NAMES
2007,UNIVERSAL,PL,,UNIVERSAL PLACE,563B6,PUBLIC STREET NAMES
2681,SHELLY VISTA,DR,,SHELLY VISTA DRIVE,503J1,PUBLIC STREET NAMES
2936,SAINT SUSAN,PL,,SAINT SUSAN PLACE,672C2,PUBLIC STREET NAMES
5133,LEDO,WAY,,LEDO WAY,591J7,PUBLIC STREET NAMES
1958,VALLEY OAK,DR,,VALLEY OAK DRIVE,593H3,PUBLIC STREET NAMES
1248,1ST HELENA,DR,,1ST HELENA DRIVE,631G4,PUBLIC STREET NAMES
4766,MAIE,AVE,,MAIE AVENUE,674G7,PUBLIC STREET NAMES
2318,SWALLOW,DR,,SWALLOW DRIVE,592H3,PUBLIC STREET NAMES
7351,DEVLIN,PL,,DEVLIN PLACE,592H5,PUBLIC STREET NAMES
785,BARRACUDA,ST,,BARRACUDA STREET,824E5,PRIVATE STREET NAMES
3138,ROCKFORD,ROAD,,ROCKFORD ROAD,594D5,PUBLIC STREET NAMES
8570,BRASILIA,DR,,BRASILIA DRIVE,500J1,PUBLIC STREET NAMES
1546,WHITESPEAK,DR,,WHITESPEAK DRIVE,561H6,PUBLIC STREET NAMES
2636,SHOUP,AVE,,SHOUP AVENUE,529J7,PUBLIC STREET NAMES
5064,LIFUR,AVE,,LIFUR AVENUE,595F6,PUBLIC STREET NAMES
4686,MARGATE,ST,,MARGATE STREET,563B2,PUBLIC STREET NAMES
9249,ANOKA,PL,,ANOKA PLACE,630J4,PUBLIC STREET NAMES
7931,CIRCLE DIAMOND,ROAD,,CIRCLE DIAMOND ROAD,481F2,PUBLIC STREET NAMES
